;Categoria;Subcategoria;Categoria_Evento;Subcategoria_Evento;Registro;Material_Registro;Material;Tipo_Material;Convocatoria;Evaluacion;Tema;Tema_Articulo;Seccion;Faq;Pregunta_Faq;Respuesta_Faq;Fecha_Evento;Actividad;Organizador;Grupo_Investigacion;Pregunta;Tipo_Pregunta;Alternativa;Evaluacion_Tema_Articulo;Respuesta;Evaluador_Articulo;Titulo;Usuario;Rol_Usuario;Rol;Pais;Ciudad;Empresa;Tipo_Empresa;Cargo;Tipo_Empresa_Cargo;Empresa_Usuario;Auspicio;Conferencista_Evento;Conferencista_Evento_Articulo;Articulo;Autor_Articulo;Evento;Tipo_Evento;Subevento_Evento;Menu_Evento;Opcion_Menu;Menu;Submenu
cr_Categoria;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
end_Categoria;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_Subcategoria;A/M;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
end_Subcategoria;A/M;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_Categoria_Evento;A/M;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
end_Categoria_Evento;A/M;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
cr_Subcategoria_Evento;A/M;A/M;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
end_Subcategoria_Evento;A/M;A/M;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
cr_Registro;A/M, A/M;A/M;A/M;A/M;O/C;;;;;;;;;;;;;;;;;;;;;;A/M, A/M;A/M, A/M;A/M;A/M;A/M, A/M;A/M, A/M;;;;;;;;;;;A/M, A/M, A/M;A/M, A/M, A/M;;;;;
end_Registro;A/M, A/M;A/M;A/M;A/M;O/E;;;;;;;;;;;;;;;;;;;;;;A/M, A/M;A/M, A/M;A/M;A/M;A/M, A/M;A/M, A/M;;;;;;;;;;;A/M, A/M, A/M;A/M, A/M, A/M;;;;;
cr_Material_Registro;A/M, A/M;A/M;A/M;A/M;A/M;O/C;A/M;A/M;;;;;;;;;;;;;;;;;;;A/M, A/M;A/M, A/M;A/M;A/M;A/M, A/M;A/M, A/M;;;;;;;;;;;A/M, A/M, A/M, A/M;A/M, A/M, A/M, A/M;;;;;
end_Material_Registro;A/M, A/M;A/M;A/M;A/M;A/M;O/E;A/M;A/M;;;;;;;;;;;;;;;;;;;A/M, A/M;A/M, A/M;A/M;A/M;A/M, A/M;A/M, A/M;;;;;;;;;;;A/M, A/M, A/M, A/M;A/M, A/M, A/M, A/M;;;;;
cr_Material;;;;;;;O/C;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
end_Material;;;;;;;O/E;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
cr_Tipo_Material;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
end_Tipo_Material;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_Convocatoria;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
end_Convocatoria;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
cr_Evaluacion;;;;;;;;;A/M;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
end_Evaluacion;;;;;;;;;A/M;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
cr_Tema;;;;;;;;;A/M;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
end_Tema;;;;;;;;;A/M;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
cr_Tema_Articulo;;;;;;;;;A/M;;A/M;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;A/M, A/M;A/M, A/M;;;;;
end_Tema_Articulo;;;;;;;;;A/M;;A/M;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;A/M, A/M;A/M, A/M;;;;;
cr_Seccion;;;;;;;;;A/M;A/M;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
end_Seccion;;;;;;;;;A/M;A/M;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
cr_Faq;;;;;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
end_Faq;;;;;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
cr_Pregunta_Faq;;;;;;;;;;;;;;A/M;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
end_Pregunta_Faq;;;;;;;;;;;;;;A/M;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
cr_Respuesta_Faq;;;;;;;;;;;;;;A/M;A/M;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
end_Respuesta_Faq;;;;;;;;;;;;;;A/M;A/M;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
cr_Fecha_Evento;;;;;;;;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
end_Fecha_Evento;;;;;;;;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;
