;Convocatoria;Evento;Tema;Evaluacion;Seccion;Pregunta;Tipo_Pregunta;Alternativa;Tema_Articulo;Evaluacion_Tema_Articulo;Respuestas;Articulo;Autor_Articulo;Evaluador_Articulo;Rol_Usuario;Rol;Usuario;Grupo_Investigacion;Conferencista_Evento;Conferencista_Evento_Articulo;Tipo_Empresa;Empresa;Empresa_Usuario;Auspicio;Faq;Pregunta_Faq;Respuesta_Faq;Tipo_Evento;Material;Tipo_Material;Fecha_Evento;Actividad;Categoria_Evento;Categoria;Subcategoria;Subcategoria_Evento;Registro;Subevento_Evento;Organizador;Cargo;Pais;Ciudad;Menu;Opcion_Menu;Menu_Evento;Submenu;Titulo;Tipo_Empresa_Cargo;Material_Registro
cr_Convocatoria;O/C;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;
end_Convocatoria;O/E;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;
cr_Evento;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;
end_Evento;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;
cr_Tema;A/M;A/M;O/C;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;
end_Tema;A/M;A/M;O/E;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;
cr_Evaluacion;A/M;A/M;;O/C;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;
end_Evaluacion;A/M;A/M;;O/E;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;
cr_Seccion;A/M;A/M;;A/M;O/C;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;
end_Seccion;A/M;A/M;;A/M;O/E;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;
cr_Pregunta;A/M;A/M;;A/M;A/M;O/C;A/M;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;
end_Pregunta;A/M;A/M;;A/M;A/M;O/E;A/M;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;
cr_Tipo_Pregunta;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
end_Tipo_Pregunta;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_Alternativa;A/M;A/M;;A/M;A/M;A/M;A/M;O/C;;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;
end_Alternativa;A/M;A/M;;A/M;A/M;A/M;A/M;O/E;;;;;;;;;;;;;;;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;
cr_Tema_Articulo;A/M;A/M, A/M;A/M;;;;;;O/C;;;A/M;;;;;;;;;;;;;;;;A/M, A/M;;;;;;;;;;;;;;;;;;;;;;
end_Tema_Articulo;A/M;A/M, A/M;A/M;;;;;;O/E;;;A/M;;;;;;;;;;;;;;;;A/M, A/M;;;;;;;;;;;;;;;;;;;;;;
cr_Evaluacion_Tema_Articulo;A/M, A/M;A/M, A/M, A/M;A/M;A/M;;;;;A/M;O/C;;A/M;;A/M;A/M;A/M;A/M;;;;;;;;;;;A/M, A/M, A/M;;;;;;;;;;;;;A/M;A/M;;;;;;;;
